tile,is_tumor,wagner_attn,vl_msi_minus_mss,vl_quality
173,False,6.9234055e-05,-0.0061996803,0.0038728695
174,False,6.9725764e-05,-0.013461474,0.016373238
175,False,6.90443e-05,-0.0026403228,0.002540134
176,False,6.909681e-05,-0.0066480855,0.009672757
177,False,6.96925e-05,-0.011780375,0.0015172511
178,False,6.8350404e-05,-0.005871839,-0.015133172
179,False,6.90875e-05,-0.011761032,0.0075318776
180,False,7.164937e-05,-0.018935032,0.008888248
181,False,6.5194625e-05,0.004287526,-0.014288627
182,False,6.891082e-05,-0.02397656,0.009905595
183,False,6.354318e-05,-0.025495365,-0.004885479
184,False,6.387311e-05,-0.0132564865,0.0029978175
185,False,6.433588e-05,-0.009018528,-0.013999992
186,False,6.184867e-05,-0.011494458,-0.013022203
187,False,6.0223956e-05,-0.033423197,-0.011795988
188,False,7.391715e-05,-0.020079244,0.016147641
189,False,7.135885e-05,0.0026008785,0.016355138
190,False,6.755418e-05,-0.0008318885,0.009690575
191,False,6.9650116e-05,0.0009626411,0.015542472
192,False,6.997162e-05,-0.009308025,0.012055427
193,False,7.105925e-05,-0.008065702,-0.00038422365
194,False,7.121199e-05,-0.0057986584,-0.0052894996
195,False,6.592046e-05,-0.004836552,0.00096649304
196,False,6.853213e-05,-0.00066806376,0.0025936514
197,False,7.008176e-05,-0.008925296,0.0042069964
198,False,7.11017e-05,0.0046168417,-0.0068814643
199,False,6.444535e-05,-0.005276691,0.005574694
200,True,6.4988686e-05,-0.012475876,0.010677391
201,True,6.458577e-05,-0.0015575914,0.0030682506
202,False,6.6057095e-05,-0.005623718,-0.011098426
203,True,6.590481e-05,-0.0017616814,-0.0061355773
204,True,6.496257e-05,0.007004737,-0.001002809
205,False,6.436195e-05,0.006708445,-0.002475828
206,False,6.30222e-05,0.002394014,-0.017432189
207,False,6.4700536e-05,0.0037391037,-0.0020482643
208,False,6.120202e-05,-0.0015551513,-0.016491685
209,False,5.729577e-05,-0.011057551,-0.02353168
210,True,5.9567483e-05,-0.004090404,-0.007694307
211,True,6.100111e-05,0.008668495,-0.004462667
212,False,5.9483762e-05,-0.017779097,0.007577084
213,False,6.124567e-05,-0.007379977,-0.0071624517
214,False,6.7013454e-05,0.006800686,-0.013686209
215,False,7.299513e-05,-0.01951706,0.0068339086
216,False,7.06737e-05,-0.009648047,0.008457888
217,False,7.385195e-05,-0.0043060947,0.003404698
218,False,6.953348e-05,0.0001614783,0.013239169
219,False,6.7752844e-05,0.0075117657,0.0073351315
220,False,7.151551e-05,0.0029807892,0.006484056
221,False,7.156149e-05,-0.0009115897,-0.0026468365
222,False,6.9966525e-05,0.005671186,0.009382298
223,True,6.674315e-05,0.018577928,-0.012627279
224,False,6.6684785e-05,0.009104999,0.021249194
